votes,party,female,black,inc,redist,east,midwest,south,west
50.5,0,0,0,10.288,48.900002,0,0,0,1
72,1,0,0,7.4720001,51.900002,0,0,0,1
50,1,0,0,7.2800002,51.900002,0,0,0,1
54,1,0,0,6.9109998,50.400002,0,0,0,1
63,1,0,0,7.961,50.799999,0,0,0,1
6.5,0,0,0,9.2749996,49.599998,0,0,0,1
41,1,0,0,6.6420002,56.700001,0,0,1,0
60,1,0,0,5.5879998,56.900002,0,0,1,0
29,1,0,0,6.474,57.5,0,0,1,0
65.5,1,0,0,5.9359999,58.200001,0,0,1,0
74,1,0,0,7.598,63.799999,0,1,0,0
95.5,1,0,0,7.5149999,58.700001,0,1,0,0
76,1,0,0,6.1680002,58.799999,0,1,0,0
53.5,1,0,0,8.2340002,58.400002,0,1,0,0
86,1,0,0,6.8720002,59.900002,0,1,0,0
39.5,0,0,0,6.9169998,59.5,0,1,0,0
69,1,0,0,6.0939999,62.099998,0,1,0,0
79,1,0,0,6.6199999,60.5,0,1,0,0
